ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
6J2VvzKwWc2f0JP5RQVZjq,YuveYuveYu,0.624,0.857,10.0,-6.25,0.0,0.0542,0.0208,0.20600000000000002,0.11,0.324,131.926,282920.0,4.0,celticmetal,The HU,55
4HA34COgxgVJ6zK88UN4Ik,Gloryhammer,0.517,0.9159999999999999,0.0,-4.933,1.0,0.0559,0.000182,0.0019100000000000002,0.306,0.444,135.996,300320.0,4.0,celticmetal,Gloryhammer,21
3W6Xik6Xxf06JuUoZSATlD,Nostos,0.251,0.894,8.0,-4.103,0.0,0.057,0.0144,0.0,0.12300000000000001,0.297,114.223,175353.0,4.0,celticmetal,Orion's Reign,2
2gGveBaLJQMtJ43X4UL5kH,Yggdrasil,0.469,0.743,1.0,-5.57,0.0,0.0272,0.0022199999999999998,0.00011100000000000001,0.276,0.48100000000000004,86.953,272292.0,4.0,celticmetal,Brothers of Metal,50
1lRF81A1C9QoCgBcEop2zg,Incense&Iron,0.48700000000000004,0.9520000000000001,1.0,-4.428999999999999,0.0,0.0613,0.00022799999999999999,0.0,0.161,0.32899999999999996,125.993,237933.0,4.0,celticmetal,Powerwolf,22
3lUQ6y8XeeaoK2hPydcX9c,WelcometoHell,0.43,0.797,2.0,-5.907,0.0,0.0303,0.000308,0.0566,0.32299999999999995,0.35200000000000004,147.982,262719.0,4.0,celticmetal,Mono Inc.,51
6sXsi4DsxtpI4BnfhaG77v,Ambiramus,0.434,0.9079999999999999,6.0,-4.715,1.0,0.0936,0.007909999999999999,0.0,0.662,0.461,126.331,173213.0,4.0,celticmetal,Eluveitie,37
3Mz5lXbMBK2tUmKAwAJwi1,Gunman,0.308,0.965,8.0,-3.1719999999999997,1.0,0.0591,2.2800000000000002e-05,0.0648,0.11699999999999999,0.18899999999999997,175.036,317733.0,4.0,celticmetal,Orden Ogan,55
7AstJIsEomp0hJyMasOqLN,NoMoreHollywoodEndings,0.5,0.925,4.0,-3.467,0.0,0.0378,0.0009400000000000001,0.0,0.294,0.37200000000000005,92.988,234787.0,4.0,celticmetal,Battle Beast,40
1L4UqbKtfM4bk3UdOzrXny,Promises,0.479,0.977,2.0,-4.515,1.0,0.086,1.66e-05,5.31e-05,0.298,0.139,150.01,285925.0,4.0,celticmetal,Timo Tolkki’s Avalon,40
